0.aia , 3 , 531.315861348 , 607.95721374 , 9561323 , -189.245781984 , 51.855144168 , 35.129287664
10.aia , 3 , 530.742509656 , 608.146791069 , 9292665 , -199.375765665 , 46.7050840817 , 12.107681644
20.aia , 3 , 534.463805668 , 608.756234841 , 8256108 , -180.252355164 , 45.7195544362 , 14.533889681
50.aia , 3 , 530.298257501 , 607.905913155 , 10437456 , 111.540722736 , 66.9350354424 , -8.07699532743
60.aia , 3 , 533.324797509 , 607.876913643 , 8105492 , -179.47873076 , 45.9512034301 , 17.517456998
70.aia , 3 , 534.95591646 , 608.334695236 , 8053309 , -186.826399684 , -42.3333917877 , 10.4748582173
80.aia , 3 , 531.327576403 , 607.868148002 , 6760922 , 40.2359186319 , 87.5779627867 , -0.136537587808
90.aia , 3 , 529.45192337 , 608.537529153 , 8364438 , 363.263976163 , 236.551133795 , -2.40417555968
100.aia , 3 , 533.947953077 , 607.74542552 , 7822547 , -176.296784844 , 45.0185422457 , 17.1187728415
120.aia , 3 , 529.985518674 , 608.586065623 , 9989799 , 198.25634225 , 51.9740298149 , 6.89758962129
130.aia , 3 , 529.678056912 , 609.283276161 , 12022527 , 234.22809416 , 49.6598613817 , 7.78815525645
140.aia , 3 , 534.98089093 , 609.170819004 , 11826257 , 217.827247089 , 57.4480060827 , 9.02804225609
150.aia , 3 , 532.453837243 , 608.52037005 , 12479012 , 219.62098106 , 48.5681381199 , 3.18766474841
160.aia , 3 , 528.590767632 , 608.859239516 , 12624592 , 224.681513433 , 59.3077200441 , 8.07146254024
170.aia , 3 , 532.027465625 , 609.349753541 , 12940010 , 206.473326799 , 45.8242768919 , 1.70075732002
180.aia , 3 , 534.632957024 , 608.814740788 , 12326879 , 219.80966037 , 54.2304893357 , 4.75161058211
190.aia , 3 , 532.471335351 , 608.956931557 , 11750500 , 202.616543825 , 48.2609167966 , 2.77287532801
200.aia , 3 , 529.011146395 , 608.598201468 , 13840718 , 240.96699325 , 56.2474483379 , 5.11120627095
